epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,765.822,1.00588,0.73279,0.95215,0.8202,0.67008,0.73955,0.51111,1.09706,0.84855,0.96635,0.00108088,0.00108088,0.00108088
43,782.809,0.99455,0.72195,0.93431,0.83005,0.6696,0.73787,0.50923,1.08293,0.80897,0.96711,0.00107675,0.00107675,0.00107675
44,800.185,0.96975,0.72096,0.93699,0.83846,0.66623,0.75245,0.52098,1.06246,0.79576,0.96225,0.00107263,0.00107263,0.00107263
45,817.377,0.98387,0.72038,0.93418,0.84836,0.65341,0.74333,0.51331,1.0522,0.81122,0.95969,0.0010685,0.0010685,0.0010685
46,835.555,0.98537,0.72732,0.94817,0.82785,0.67169,0.74635,0.50884,1.08793,0.82777,0.97375,0.00106437,0.00106437,0.00106437
47,853.517,0.97882,0.70765,0.94074,0.82114,0.69912,0.75318,0.5193,1.04028,0.78003,0.96442,0.00106025,0.00106025,0.00106025
48,870.868,0.97194,0.70016,0.93149,0.86623,0.65489,0.75024,0.52003,1.06448,0.80556,0.96299,0.00105612,0.00105612,0.00105612
49,887.892,0.97506,0.69701,0.93692,0.83895,0.67015,0.75268,0.52088,1.03426,0.78589,0.95164,0.001052,0.001052,0.001052
50,904.579,0.94835,0.67858,0.91605,0.85166,0.67104,0.7484,0.52253,1.03122,0.76879,0.9548,0.00104787,0.00104787,0.00104787
51,921.58,0.9677,0.68122,0.92546,0.82183,0.66678,0.74541,0.53321,1.00803,0.78276,0.93871,0.00104375,0.00104375,0.00104375
52,939.071,0.97083,0.68022,0.93066,0.87238,0.66204,0.7552,0.5219,1.04437,0.78746,0.95193,0.00103962,0.00103962,0.00103962
53,955.369,0.96384,0.68049,0.93377,0.86696,0.6799,0.76899,0.5398,1.02308,0.74996,0.94568,0.0010355,0.0010355,0.0010355
54,971.762,0.94402,0.67195,0.92942,0.86021,0.66752,0.75733,0.53118,1.02313,0.77317,0.95207,0.00103138,0.00103138,0.00103138
55,989.225,0.94962,0.6672,0.93115,0.85409,0.67815,0.74922,0.52331,1.03598,0.76996,0.95521,0.00102725,0.00102725,0.00102725
56,1006.21,0.9571,0.66817,0.93069,0.84463,0.64433,0.73137,0.50891,1.05041,0.8231,0.9632,0.00102312,0.00102312,0.00102312
57,1022.91,0.95913,0.67358,0.92457,0.78053,0.7002,0.74748,0.52297,1.02211,0.76834,0.94576,0.001019,0.001019,0.001019
58,1040.18,0.95551,0.66626,0.92723,0.86003,0.66436,0.74343,0.51363,1.04934,0.78529,0.94844,0.00101488,0.00101488,0.00101488
59,1057.54,0.94163,0.6582,0.92706,0.85482,0.66614,0.75196,0.52589,1.01963,0.76499,0.94492,0.00101075,0.00101075,0.00101075
60,1074.87,0.94313,0.65918,0.91975,0.8337,0.71655,0.76845,0.53697,1.02633,0.75009,0.94656,0.00100663,0.00100663,0.00100663
61,1092.02,0.92142,0.64872,0.91322,0.86031,0.69303,0.76734,0.5379,1.03955,0.76811,0.94635,0.0010025,0.0010025,0.0010025
62,1108.77,0.94072,0.66357,0.92264,0.85634,0.68029,0.75989,0.52645,1.00714,0.7681,0.94035,0.000998375,0.000998375,0.000998375
63,1125.69,0.92126,0.64615,0.92224,0.82271,0.67854,0.76047,0.53573,0.99595,0.78209,0.93362,0.00099425,0.00099425,0.00099425
64,1143.26,0.90614,0.65393,0.91828,0.82582,0.67795,0.75793,0.52916,1.03377,0.76813,0.94648,0.000990125,0.000990125,0.000990125
65,1160.31,0.91521,0.64946,0.91423,0.88094,0.65405,0.74995,0.52864,1.03251,0.74511,0.94827,0.000986,0.000986,0.000986
66,1177.52,0.91433,0.63221,0.91375,0.83316,0.66131,0.71543,0.5098,1.04055,0.80213,0.95263,0.000981875,0.000981875,0.000981875
67,1194.73,0.93189,0.63439,0.92225,0.82334,0.69765,0.75294,0.53424,1.02762,0.75184,0.9511,0.00097775,0.00097775,0.00097775
68,1211.52,0.90296,0.62608,0.90974,0.86027,0.6675,0.73779,0.52168,1.00655,0.77065,0.94875,0.000973625,0.000973625,0.000973625
69,1228.16,0.90445,0.60989,0.91068,0.82264,0.70123,0.73663,0.52254,0.99947,0.74702,0.93361,0.0009695,0.0009695,0.0009695
70,1244.86,0.91952,0.62818,0.91974,0.82301,0.68269,0.74084,0.52149,1.00855,0.76352,0.9446,0.000965375,0.000965375,0.000965375
71,1262.06,0.92592,0.63248,0.92773,0.84942,0.68367,0.75316,0.53349,1.02516,0.73734,0.94545,0.00096125,0.00096125,0.00096125
72,1280.35,0.91699,0.61864,0.91035,0.84723,0.68896,0.75718,0.53237,1.02234,0.74755,0.94862,0.000957125,0.000957125,0.000957125
73,1298.33,0.91254,0.63123,0.91778,0.86329,0.69406,0.7722,0.5403,1.01095,0.72202,0.94363,0.000953,0.000953,0.000953
74,1314.93,0.91783,0.64581,0.9109,0.88502,0.67562,0.77078,0.5384,1.0112,0.71551,0.94,0.000948875,0.000948875,0.000948875
75,1331.36,0.90957,0.62373,0.90999,0.89867,0.66468,0.76682,0.53915,1.02569,0.74586,0.9427,0.00094475,0.00094475,0.00094475
76,1348.27,0.90203,0.61172,0.91394,0.82976,0.69598,0.7704,0.54346,1.00023,0.73525,0.95225,0.000940625,0.000940625,0.000940625
