OBJECTID,STOPNAME,TRAPEZESTOPABBR,RUCUSSTOPABBR,STOPID,LATITUDE,LONGITUDE,ACCESSIBILITYMASK,ATSTREET,ONSTREET,POSITION,ORIENTATION,SERVICEPLANNINGSTOPTYPE,SHELTER,INSERT_TIMESTAMP,SDE_ID,SIGNUPID,SUPERVISOR_DISTRICT,shape,data_as_of,data_loaded_at,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,Neighborhoods,SF Find Neighborhoods
70171,515 John Muir Dr NE-MB/SB,J M H510,J M H515,5125,37.716241,-122.495342,,,JOHN MUIR DR,MB,NE,,0,1724754766000,15647065,145,7,POINT (-122.495342 37.716241),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,10,8,16,43,43
71026,Sloat Blvd&45th Ave NW-FS/BZ,SLOA45A1,SLOA45AV,6450,37.735600000000005,-122.503407,,45TH AVE,SLOAT BLVD,FS,NW,BZ,1,1724754766000,15650206,145,4,POINT (-122.503407 37.7356),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,10,7,35,40,40
71445,Columbus Ave&Kearny St N-FS/BZ,COLMKRN1,COLMKRNY,4111,37.797319,-122.405742,,KEARNY ST,COLUMBUS AVE,FS,NO,BZ,0,1724754766000,15654227,145,3,POINT (-122.405742 37.797319),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,6,3,23,106,106
69540,Cashmere St&La Salle Ave NE-FS,CASHLSA0,CASHLSAL,3921,37.73585,-122.38695,,LA SALLE AVE,CASHMERE ST,FS,NE,FL,0,1724754766000,15645174,145,10,POINT (-122.38695 37.73585),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,2,9,1,86,86
71977,Point Lobos Ave&46th Ave NW-FS/PS,PTLO46A0,PTLO46AV,6129,37.780041,-122.50744,1,46TH AVE,POINT LOBOS AVE,FS,NW,,0,1724754766000,15652578,145,1,POINT (-122.50744 37.780041),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,8,4,29,6,6
70966,Persia Ave&Madrid St E-NS/SB,PERSMAD1,PERSMADR,5910,37.721638,-122.432673,,MADRID ST,PERSIA AVE,NS,EA,,0,1724754766000,15653773,145,11,POINT (-122.432673 37.721638),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,9,1,7,90,90
71433,Market St&Beale St E-FS/BZ,MRKTBEA1,MRKTBEAL,5658,37.792572,-122.39701600000001,1,BEALE ST,MARKET ST,FS,EA,BZ,1,1724754766000,15652118,145,6,POINT (-122.397016 37.792572),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,6,10,8,108,108
69197,24th St&Church St SW-NS/BZ,24STCHU1,24STCHUR,3461,37.751644,-122.427545,,CHURCH ST,24TH ST,NS,SW,BZ,1,1724754766000,15643961,145,8,POINT (-122.427545 37.751644),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,3,5,22,84,84
71561,3rd St&Carroll Ave NE-FS/SI,3ST CAR0,3ST CAR0,7343,37.725491,-122.394222,1,CARROLL AVE,3RD ST,FS,NE,SI,0,1724754766000,15654333,145,10,POINT (-122.394222 37.725491),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,2,9,1,86,86
69123,9th Ave&Moraga St SE-NS/BZ,.9AVMOR1,9AVMORA,3223,37.756508,-122.465689,,MORAGA ST,9TH AVE,NS,SE,BZ,1,1724754766000,15644220,145,7,POINT (-122.465689 37.756508),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,10,8,14,44,44
70814,Polk St&Union St NW-NS/BZ,POLKUNI0,POLKUNIN,6004,37.79893,-122.42247,,UNION ST,POLK ST,NS,NW,BZ,1,1724754766000,15650017,145,3,POINT (-122.42247 37.79893),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,4,6,32,107,107
70970,Roosevelt Way&Museum Way E-FS/SB,RSVTMUSM,RSVTMUSM,6240,37.76536,-122.44102,,MUSEUM WAY,ROOSEVELT WAY,FS,EA,,0,1724754766000,15653809,145,8,POINT (-122.44102 37.76536),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,7,5,5,113,113
71320,3rd St&Revere Ave S-NS/BB,.3STRVR1,3STRVRE,3145,37.73225,-122.39146,1,REVERE AVE,03RD ST,NS,SO,BZ,0,1724754766000,15650425,145,10,POINT (-122.39146 37.73225),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,2,9,1,86,86
72328,Union St&Taylor St SW-NS/PS,UNINTAY1,UNINTAYL,6785,37.799743,-122.41422,,TAYLOR ST,UNION ST,NS,SW,,0,1724754766000,15651383,145,3,POINT (-122.41422 37.799743),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,6,3,32,107,107
69144,6th Ave&Geary Blvd SW-FS/BZ,.6AVGEA0,.6AVGEAR,3185,37.780767999999995,-122.464354,,GEARY BLVD,6TH AVE,FS,SW,BZ,0,1724754766000,15644256,145,1,POINT (-122.464354 37.780768),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,8,4,11,5,5
71043,North Point St&Jones St NW-FS/BZ,N.PTJON1,N.PTJONE,5460,37.806168,-122.417405,1,JONES ST,NORTH POINT ST,FS,NW,BZ,1,1724754766000,15651710,145,3,POINT (-122.417405 37.806168),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,6,3,23,99,99
70383,Innes Ave&Earl St E-NS/SB,INESEAR1,INESEARL,5097,37.729878,-122.371871,,HORNE AVE,INNES AVE,NS,EA,,0,1724754766000,15647886,145,10,POINT (-122.371871 37.729878),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,2,9,1,78,78
70881,Geary Blvd&3RD Ave SW-NS/BZ,GEAR 3A1,GEAR 3AV,4256,37.781045,-122.461156,1,3RD AVE,GEARY BLVD,NS,SW,BZ,0,1724754766000,15653678,145,1,POINT (-122.461156 37.781045),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,8,4,11,5,5
69780,Excelsior Ave&Paris St W-NS/PS,EXCLPAR0,EXCLPARS,4574,37.725519999999996,-122.43218999999999,,PARIS ST,EXCELSIOR AVE,NS,WE,FL,0,1724754766000,15645933,145,11,POINT (-122.43219 37.72552),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,9,1,7,90,90
