Stop ID,Stop Abbr,Stop Name,Lon,Lat,Bus Stop Type,Route(S),Jurisdiction
100128,100128,MARTIN LUTHER KING J @ STAFFORD ST,-84426522,33753444,Sign on Post,3,Atlanta
100130,100130,MARTIN L KING JR DR NW @ STAFFORD ST SW,-84426489,33753516,Sign on Post,3,Atlanta
100132,100132,MARTIN L KING JR DR @ MORRIS BROWN,-84424968,33753840,Sign on Post,3,Atlanta
100134,100134,MARTIN L KING JR DR NW @ MORRIS BROWN DR SW,-84425011,33753893,Sign on Post,3,Atlanta
100136,100136,MARTIN LUTHER KING J @ HUNTER PL N,-84423827,33754395,Sign on Post,3,Atlanta
100137,100137,MARTIN LUTHER KING J DR @ WHITEHOUSE DR,-84419940,33754709,Shelter,3,Atlanta
100138,100138,MARTIN L KING JR DR NW @ HUNTER PL NW,-84423892,33754431,Sign on Post,3,Atlanta
100142,100142,MARTIN L KING JR DR NW @ BOOKER ST NW,-84420311,33754772,Sign on Post,3,Atlanta
100148,100148,MARTIN L KING JR DR NW @ CHICAMAUGA AVE NW,-84431838,33753823,Sign on Post,3,Atlanta
100150,100150,MARTIN L KING JR DR NW @ CHAPPELL RD,-84433255,33753851,Sign on Post,3,Atlanta
100152,100152,FAIR ST SW @ 1ST ST SW,-84425545,33748905,Sign on Post,813,Atlanta
100154,100154,FAIR ST @ FIRST ST,-84425298,33749077,Sign on Post,813,Atlanta
100160,100160,FAIR ST SW @ LAWTON ST SW,-84423370,33749010,Sign on Post,813,Atlanta
100162,100162,FAIR ST @ ABBOTT ST,-84419426,33749191,Sign on Post,813,Atlanta
100164,100164,MARTIN LUTHER KING J DR @ OLLIE ST,-84421316,33754747,Sign on Post,3,Atlanta
100166,100166,LUCILE AVE @ HOLDERNESS ST,-84426658,33742389,Sign on Post,58,Atlanta
100168,100168,FAIR ST SW @ JOSEPH E LOWERY BLVD,-84418167,33749074,Sign on Post,813,Atlanta
100170,100170,WESTVIEW DR SW @ WESTVIEW PL,-84434656,33747440,Sign on Post,813,Atlanta
101002,101002,LEE ST SW @ W END AV SW,-84414009,33744253,Sign on Post,68,Atlanta
101006,101006,LEE ST SW @ NORCROSS ST SW,-84413776,33743338,Sign on Post,68,Atlanta
101008,101008,W END AVE SW @ WELLBORN ST SW,-84415271,33744547,Sign on Post,68,Atlanta
101010,101010,PETERS ST SW @ HAYNES ST SW,-84399785,33749241,Sign on Post,813,Atlanta
101016,101016,ATLANTA STUDENT MOVEMENT BLVD @ WALNUT ST SW,-84406514,33749182,Sign on Post,813,Atlanta
101022,101022,ATLANTA STUDENT MOVEMENT BLVD @ LAWSHE ST SW,-84410312,33749397,Sign on Post,813,Atlanta
101024,101024,ATLANTA STUDENT MOVEMENT BLVD @ JAMES P BRAWLEY DR SW,-84412599,33749556,Sign on Post,813,Atlanta
101026,101026,ATLANTA STUDENT MOVEMENT BLVD @ MILTON ST SW,-84414271,33749457,Sign on Post,813,Atlanta
101030,101030,PETERS ST SW @ FAIR ST SW,-84401161,33748085,Sign on Post,813,Atlanta
101036,101036,ATLANTA STUDENT MOVEMENT BLVD @ WALNUT ST SW,-84406578,33749020,Sign on Post,813,Atlanta
101040,101040,ATLANTA STUDENT MOVEMENT BLVD @ ELM ST SW,-84409325,33749191,Sign on Post,813,Atlanta
101042,101042,ATLANTA STUDENT MOVEMENT BLVD @ JOHN HOPE DR SW,-84410651,33749192,Sign on Post,813,Atlanta
101044,101044,ATLANTA STUDENT MOVEMENT BLVD @ JAMES P BRAWLEY DR SW,-84413086,33749168,Sign on Post,813,Atlanta
101046,101046,ATLANTA STUDENT MOVEMENT BLVD @ MILTON ST SW,-84414597,33749146,Sign on Post,813,Atlanta
101069,101069,MARTIN L KING JR DR @ JOSEPH E LOWERY BLVD,-84417739,33754678,Sign Strapped to Pole,3,Atlanta
101092,101092,WHITEHALL ST SW @ SPRING ST SW,-84399046,33746080,Sign on Post,40,Atlanta
101096,101096,WHITEHALL ST SW @ TED TURNER DR SW,-84399003,33745868,Sign on Post,40,Atlanta
101098,101098,WHITEHALL ST SW @ 385,-84400559,33745305,Sign on Post,40,Atlanta
101100,101100,WHITEHALL ST SW @ 400,-84400643,33745123,Bench,40,Atlanta
101104,101104,WHITEHALL ST SW @ WHITEHALL TERR SW,-84402990,33744147,Sign on Post,40,Atlanta
101108,101108,MCDANIEL ST SW @ FULTON ST SW,-84402942,33741302,Bench,40,Atlanta
