Stop ID,Stop Name,Location
7100145,ON PROSPECT AT 24TH SOUTHBOUND,"(39.083225, -94.552292)"
2840032,ON NOLAND RD AT 44TH SOUTHBOUND,"(39.040741, -94.415444)"
1230124,ON PARK TOWER DR AT LAYOVER SB,"(39.086763, -94.512072)"
2803016,ON BLUE RIDGE BLVD AT CORRINGTON SOUTHBOUND,"(38.956461, -94.505158)"
229181,ON N AMBASSADOR AT 10383 N AMBASSADOR DRIVE NB,"(39.28027, -94.670116)"
542502,ON PASEO AT RACHEL MORADO 77TH NB,"(38.98712, -94.566242)"
5000,ON PARVIN AT 39TH WB,"(39.165053, -94.550522)"
1080243,ON INDIANA AT 43RD SOUTHBOUND,"(39.047962, -94.544804)"
282310,ON BLUE RIDGE BLVD AT SYCAMORE NORTHBOUND,"(38.929518, -94.50769)"
4700031,ON CLEAVER II BLVD AT 1526 CLEAVER II BLVD WB,"(39.042043, -94.56666)"
401191,ON METCALF AT 110TH SOUTHBOUND,"(38.928886, -94.667995)"
4700009,ON SNI-A-BAR AT RINKER WESTBOUND,"(39.03133, -94.48724)"
1632300,ON 63RD AT MANCHESTER TRAFFICWAY EASTBOUND,"(39.013481, -94.528036)"
1350082,ON WALKER AT ROCKCREEK PKWY NORTHBOUND,"(39.148911, -94.548361)"
290018,ON PRAIRIE VIEW AT 61ST SOUTHBOUND,"(39.205289, -94.63446)"
1072500,ON 7TH ST AT SPLITLOG NB,"(39.108941, -94.626723)"
472501,ON BLUE PKWY AT SWOPE PARK HEALTH EB,"(39.03582, -94.539655)"
7492,ON NORFLEET AT NE 41ST SB,"(39.170669, -94.430744)"
1040053,ON STRONG AT 32ND WESTBOUND,"(39.075189, -94.666077)"
47010,SB STERLING FS HWY 40,"(39.048858, -94.447698)"
1330138,ON VIVION AT 2000 NE VIVION WB,"(39.181277, -94.557593)"
1001,ON NORFLEET RD AT NE 40TH ST SB,"(39.166947, -94.426329)"
1750115,ON SWOPE PKWY AT SOUTHEAST H.S. NB,"(39.009728, -94.542135)"
3800139,ON HIGHLAND AT NE VIVION NORTHBOUND,"(39.180847, -94.558963)"
1200084,ON 12TH BTWN WYOMING & GENESSEE WESTBOUND,"(39.100027, -94.60414)"
1090068,ON 9TH AT BELLEFONTAINE EASTBOUND,"(39.102263, -94.545979)"
1131533,ON GEORGIA AT 47TH WB,"(39.135735, -94.687373)"
2800316,ON BLUE RIDGE BLVD AT 78TH TERR. SOUTHBOUND,"(38.981614, -94.485009)"
206,EAST VILLAGE - BAY F,"(39.099285, -94.573627)"
2851506,ON CRYSLER AT RUBY NB,"(39.086496, -94.431969)"
2850093,ON STERLING AT 23RD ST NORTHBOUND,"(39.080222, -94.445995)"
1020031,ON CENTRAL AT 13TH WESTBOUND,"(39.103851, -94.643466)"
25179,ON TROOST AT 51ST NORTHBOUND,"(39.034319, -94.573272)"
3700004,ON N OAK AT 82ND SOUTHBOUND,"(39.24288, -94.576038)"
25190,ON TROOST AT 41ST NORTHBOUND,"(39.052419, -94.572269)"
1732,ON CORRINGTON AT 44TH ST SB,"(39.173025, -94.495312)"
