epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,273.533,1.03354,0.87769,0.96961,0.79195,0.72909,0.7781,0.52443,1.06981,0.92442,1.02146,0.00108088,0.00108088,0.00108088
43,278.714,0.98086,0.79327,0.97089,0.82919,0.70163,0.78488,0.52275,1.07339,0.92125,1.02996,0.00107675,0.00107675,0.00107675
44,284.187,1.04868,0.84535,0.99753,0.78654,0.77283,0.80792,0.54359,1.039,0.88914,1.01128,0.00107263,0.00107263,0.00107263
45,289.272,1.01321,0.79371,0.97037,0.78726,0.73851,0.78022,0.52097,1.06823,0.93764,1.02627,0.0010685,0.0010685,0.0010685
46,294.436,1.00245,0.81788,0.98982,0.81326,0.74473,0.77738,0.53039,1.04957,0.9372,1.00483,0.00106437,0.00106437,0.00106437
47,299.471,0.97623,0.84087,0.97037,0.78713,0.74406,0.75626,0.51678,1.08593,0.95225,1.0161,0.00106025,0.00106025,0.00106025
48,304.537,1.00022,0.84055,0.97503,0.80946,0.72603,0.76593,0.51827,1.05546,0.94967,1.00452,0.00105612,0.00105612,0.00105612
49,309.715,0.9675,0.79674,0.95555,0.7654,0.72417,0.75805,0.52327,1.06665,0.96124,1.00879,0.001052,0.001052,0.001052
50,315.47,0.97521,0.78883,0.97312,0.82211,0.74655,0.76943,0.53139,1.0283,0.90018,1.003,0.00104787,0.00104787,0.00104787
51,320.502,1.02445,0.82797,0.97813,0.77597,0.74357,0.77524,0.53254,1.05932,0.91351,1.00076,0.00104375,0.00104375,0.00104375
52,325.655,1.00952,0.81691,0.99821,0.81238,0.75962,0.78941,0.53561,1.11923,0.92674,1.03901,0.00103962,0.00103962,0.00103962
53,330.846,0.93189,0.77489,0.9364,0.84197,0.70718,0.7668,0.51121,1.15052,0.9007,1.05805,0.0010355,0.0010355,0.0010355
54,336.06,0.94424,0.73815,0.9557,0.77743,0.7483,0.76175,0.51863,1.08179,0.93036,1.04319,0.00103138,0.00103138,0.00103138
55,341.189,0.96194,0.76786,0.95468,0.81812,0.72323,0.76211,0.5137,1.10732,0.93289,1.03029,0.00102725,0.00102725,0.00102725
56,346.488,0.94842,0.7725,0.96016,0.81604,0.78426,0.77781,0.538,1.075,0.91075,1.00413,0.00102312,0.00102312,0.00102312
57,351.886,0.97757,0.75871,0.97096,0.80984,0.75696,0.77454,0.532,1.09156,0.89826,1.0184,0.001019,0.001019,0.001019
58,356.966,0.96519,0.77462,0.95075,0.77911,0.75925,0.7762,0.53475,1.07029,0.93209,1.03815,0.00101488,0.00101488,0.00101488
59,362.096,0.9811,0.79302,0.95096,0.78453,0.75892,0.75284,0.53008,1.0377,0.93188,0.99842,0.00101075,0.00101075,0.00101075
60,367.283,0.95648,0.75459,0.94965,0.76932,0.76866,0.7849,0.5516,1.02529,0.86811,1.00174,0.00100663,0.00100663,0.00100663
61,372.39,0.93003,0.70528,0.94065,0.80748,0.77862,0.78977,0.54892,1.01796,0.86354,1.00765,0.0010025,0.0010025,0.0010025
62,377.449,0.93939,0.69741,0.97833,0.79513,0.75422,0.78316,0.54018,1.03677,0.93466,1.02918,0.000998375,0.000998375,0.000998375
63,382.584,0.92814,0.72836,0.94469,0.77797,0.7386,0.76826,0.52652,1.07427,0.93921,1.03376,0.00099425,0.00099425,0.00099425
64,388.046,0.91311,0.71223,0.93832,0.85321,0.66742,0.75173,0.52223,1.03427,0.93801,1.01616,0.000990125,0.000990125,0.000990125
65,393.288,0.93491,0.69082,0.93769,0.76764,0.75424,0.77512,0.53618,1.0384,0.90011,0.98667,0.000986,0.000986,0.000986
66,398.885,1.06233,1.15155,1.04767,0.75183,0.77395,0.77909,0.53475,1.05569,0.90253,1.01994,0.000981875,0.000981875,0.000981875
67,404.082,0.94076,0.72459,0.96447,0.77141,0.74459,0.78003,0.53744,1.04029,0.86746,1.00471,0.00097775,0.00097775,0.00097775
68,409.217,0.9514,0.75932,0.95749,0.82522,0.72392,0.78042,0.54367,1.04873,0.96635,0.99258,0.000973625,0.000973625,0.000973625
69,414.293,0.92071,0.701,0.93761,0.82592,0.71043,0.77704,0.52834,1.086,0.9804,1.01573,0.0009695,0.0009695,0.0009695
70,419.265,0.92583,0.70334,0.9381,0.80455,0.76456,0.77727,0.54177,1.03993,0.906,1.03497,0.000965375,0.000965375,0.000965375
71,424.603,0.91426,0.73394,0.94388,0.80605,0.73255,0.79639,0.55095,1.08188,0.91905,1.04507,0.00096125,0.00096125,0.00096125
72,429.894,0.92386,0.67833,0.93852,0.80061,0.73924,0.79415,0.54622,1.0453,0.906,1.01494,0.000957125,0.000957125,0.000957125
73,435.021,0.91779,0.68439,0.95694,0.86804,0.75373,0.79962,0.55593,1.00226,0.87705,0.98296,0.000953,0.000953,0.000953
74,440.058,0.95053,0.69402,0.9388,0.79321,0.77873,0.79163,0.55306,1.04109,0.9297,1.00996,0.000948875,0.000948875,0.000948875
75,445.329,0.89763,0.66772,0.92815,0.83987,0.69795,0.78803,0.54637,1.07019,0.9047,1.02043,0.00094475,0.00094475,0.00094475
76,450.457,0.89343,0.67161,0.93607,0.78892,0.75402,0.78092,0.52519,1.09762,0.88326,1.05746,0.000940625,0.000940625,0.000940625
77,456.199,0.89503,0.65436,0.92923,0.78177,0.79925,0.79779,0.54706,1.10076,0.89957,1.04276,0.0009365,0.0009365,0.0009365
78,461.165,0.88659,0.65129,0.94799,0.80082,0.78784,0.79008,0.5325,1.07037,0.89605,1.02477,0.000932375,0.000932375,0.000932375
79,466.175,0.81996,0.80332,0.86407,0.82637,0.73922,0.78727,0.52671,1.07885,0.94912,1.02787,0.00092825,0.00092825,0.00092825
80,471.266,0.92945,0.69321,0.94555,0.78761,0.7237,0.77103,0.52668,1.08348,1.05942,1.02104,0.000924125,0.000924125,0.000924125
81,476.412,0.90289,0.69391,0.95249,0.84754,0.71463,0.77516,0.52806,1.05444,0.94153,1.00839,0.00092,0.00092,0.00092
82,481.425,0.90605,0.66716,0.94672,0.84125,0.72818,0.79518,0.54666,1.0502,0.93931,1.00334,0.000915875,0.000915875,0.000915875
83,486.574,0.87446,0.65159,0.92869,0.80919,0.76471,0.79807,0.5492,1.03967,0.9078,1.00771,0.00091175,0.00091175,0.00091175
84,492.381,0.89352,0.66664,0.92934,0.86695,0.70093,0.77952,0.5216,1.0703,0.91052,1.01723,0.000907625,0.000907625,0.000907625
85,497.419,0.88096,0.66232,0.92574,0.85632,0.7549,0.81125,0.54749,1.02099,0.8476,1.00308,0.0009035,0.0009035,0.0009035
86,502.548,0.83931,0.61865,0.92373,0.82351,0.7665,0.79507,0.55642,1.01722,0.83654,0.99745,0.000899375,0.000899375,0.000899375
87,507.669,0.86205,0.62869,0.90265,0.82867,0.77588,0.81101,0.56128,1.04444,0.83379,1.01548,0.00089525,0.00089525,0.00089525
88,512.743,0.87382,0.62542,0.92063,0.85811,0.76002,0.81244,0.57602,0.99775,0.81544,0.98345,0.000891125,0.000891125,0.000891125
89,517.817,0.85927,0.60307,0.91499,0.80226,0.7777,0.79865,0.5566,1.04105,0.84316,1.00947,0.000887,0.000887,0.000887
90,523.583,0.89783,0.64653,0.93528,0.82431,0.74362,0.78893,0.54573,1.01918,0.84645,1.0027,0.000882875,0.000882875,0.000882875
91,528.894,0.86958,0.63103,0.92129,0.8247,0.77462,0.80549,0.5644,1.04508,0.83135,1.01989,0.00087875,0.00087875,0.00087875
92,534.237,0.89517,0.61839,0.91991,0.80034,0.80554,0.82054,0.57987,0.99905,0.82258,0.98957,0.000874625,0.000874625,0.000874625
93,539.496,0.87804,0.63764,0.92143,0.8201,0.78331,0.81989,0.57395,1.00801,0.87491,0.99168,0.0008705,0.0008705,0.0008705
94,544.699,0.89473,0.65008,0.93471,0.83405,0.74395,0.80847,0.56046,1.01311,0.89277,0.98741,0.000866375,0.000866375,0.000866375
95,550.089,0.86844,0.64473,0.91702,0.80725,0.77417,0.80919,0.57189,1.00639,0.90443,0.98983,0.00086225,0.00086225,0.00086225
96,555.439,0.85252,0.61805,0.90768,0.82554,0.7217,0.79954,0.56438,0.99979,0.86066,0.9884,0.000858125,0.000858125,0.000858125
97,561.034,0.85475,0.6278,0.92112,0.81547,0.7419,0.79532,0.55644,0.99619,0.88624,0.99015,0.000854,0.000854,0.000854
98,566.323,0.84606,0.61677,0.91683,0.77525,0.78048,0.80381,0.55703,1.00207,0.87428,0.99666,0.000849875,0.000849875,0.000849875
99,571.612,0.85561,0.62026,0.93089,0.83822,0.76889,0.79656,0.55282,0.99562,0.86767,0.99025,0.00084575,0.00084575,0.00084575
100,577.014,0.84082,0.58905,0.91279,0.7912,0.75907,0.78164,0.53839,1.01195,0.88333,0.99985,0.000841625,0.000841625,0.000841625
101,582.393,0.85695,0.61147,0.91491,0.77346,0.78165,0.80561,0.55582,1.00956,0.85261,1.00256,0.0008375,0.0008375,0.0008375
102,587.638,0.84682,0.60822,0.92253,0.81352,0.78158,0.81327,0.55916,1.00695,0.86591,1.00507,0.000833375,0.000833375,0.000833375
103,592.964,0.8433,0.59806,0.91025,0.81755,0.80614,0.82262,0.5766,1.01341,0.80647,0.9904,0.00082925,0.00082925,0.00082925
104,598.305,0.83229,0.58884,0.9108,0.84671,0.75046,0.81844,0.58377,0.99002,0.78333,0.98056,0.000825125,0.000825125,0.000825125
105,603.856,0.83967,0.58814,0.91511,0.88109,0.73602,0.80749,0.55972,1.03906,0.86372,1.00917,0.000821,0.000821,0.000821
106,609.273,0.83083,0.5985,0.91891,0.86253,0.71592,0.80109,0.54208,1.11514,0.87367,1.04009,0.000816875,0.000816875,0.000816875
107,614.569,0.8349,0.5912,0.92513,0.81306,0.78093,0.80602,0.55574,1.07307,0.89415,1.04377,0.00081275,0.00081275,0.00081275
108,619.979,0.8606,0.60249,0.92494,0.80706,0.78762,0.80844,0.55203,1.05519,0.8743,1.0282,0.000808625,0.000808625,0.000808625
109,625.167,0.84701,0.60499,0.90907,0.81404,0.79772,0.82599,0.58225,0.99563,0.80584,0.99536,0.0008045,0.0008045,0.0008045
110,630.384,0.84845,0.68013,0.93583,0.84393,0.73793,0.79701,0.56362,1.01967,0.90828,1.00061,0.000800375,0.000800375,0.000800375
111,635.62,0.80323,0.56891,0.91249,0.84308,0.76278,0.80392,0.57006,0.96785,0.87068,0.98047,0.00079625,0.00079625,0.00079625
112,641.908,0.81415,0.57314,0.89494,0.81145,0.75793,0.80735,0.57866,0.97385,0.85281,0.98767,0.000792125,0.000792125,0.000792125
113,647.104,0.83682,0.60131,0.90351,0.85147,0.73726,0.79078,0.57375,0.96162,0.83636,0.98314,0.000788,0.000788,0.000788
114,652.295,0.80531,0.564,0.89469,0.77994,0.77679,0.79145,0.56293,1.00587,0.84673,0.98977,0.000783875,0.000783875,0.000783875
115,657.266,0.81494,0.58371,0.90324,0.836,0.77332,0.79963,0.56159,0.9963,0.8161,0.98251,0.00077975,0.00077975,0.00077975
116,662.461,0.79955,0.58473,0.92425,0.83347,0.79058,0.81057,0.57319,0.97674,0.84494,0.97348,0.000775625,0.000775625,0.000775625
117,667.584,0.82085,0.57676,0.90279,0.80882,0.78862,0.7877,0.55618,0.97994,0.90103,0.98963,0.0007715,0.0007715,0.0007715
118,672.835,0.85292,0.63026,0.94023,0.82594,0.75298,0.78364,0.55057,0.97036,0.88047,0.9825,0.000767375,0.000767375,0.000767375
119,678.057,0.83731,0.57902,0.90416,0.77079,0.78745,0.80929,0.55814,1.04121,0.88757,1.01198,0.00076325,0.00076325,0.00076325
