epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,860.236,0.95024,0.72157,0.98486,0.89163,0.72715,0.81622,0.53895,1.02862,0.75457,1.00216,0.00083764,0.00083764,0.00083764
43,881.52,0.95358,0.71111,0.96953,0.87796,0.73934,0.81699,0.54782,0.99398,0.74137,1.00151,0.00083368,0.00083368,0.00083368
44,901.252,0.96731,0.7265,0.97416,0.86945,0.7394,0.82137,0.55107,0.98976,0.73478,1.02029,0.00082972,0.00082972,0.00082972
45,920.646,0.93448,0.70142,0.97487,0.85558,0.74619,0.82091,0.54991,0.98652,0.71278,1.0059,0.00082576,0.00082576,0.00082576
46,940.642,0.94577,0.70278,0.97496,0.86947,0.72584,0.8177,0.55391,1.00531,0.71318,1.00692,0.0008218,0.0008218,0.0008218
47,960.832,0.94074,0.68547,0.96857,0.85458,0.74542,0.81532,0.53472,1.0299,0.75221,1.00453,0.00081784,0.00081784,0.00081784
48,981.819,0.95781,0.70763,0.97706,0.85978,0.71934,0.79905,0.54541,1.0142,0.74819,1.01705,0.00081388,0.00081388,0.00081388
49,1001.41,0.95772,0.6913,0.97934,0.87207,0.74654,0.81987,0.5462,1.03218,0.71634,1.01442,0.00080992,0.00080992,0.00080992
50,1020.84,0.96236,0.68979,0.96686,0.87878,0.74172,0.82165,0.54993,1.02397,0.72341,1.00885,0.00080596,0.00080596,0.00080596
51,1039.81,0.93191,0.67862,0.95863,0.90421,0.71136,0.81602,0.55704,0.97099,0.70995,0.98617,0.000802,0.000802,0.000802
52,1059.02,0.93443,0.68636,0.96209,0.86361,0.7734,0.83373,0.56872,0.97838,0.72053,0.98252,0.00079804,0.00079804,0.00079804
53,1080,0.96307,0.71662,0.98365,0.88157,0.72752,0.80545,0.5435,1.0165,0.77364,1.00146,0.00079408,0.00079408,0.00079408
54,1100.12,0.93633,0.67704,0.96568,0.87487,0.72534,0.80569,0.54584,0.98222,0.71594,0.98675,0.00079012,0.00079012,0.00079012
55,1119.53,0.92276,0.67335,0.96882,0.89178,0.74566,0.83334,0.56021,0.98954,0.70182,0.99309,0.00078616,0.00078616,0.00078616
56,1138.61,0.9124,0.65276,0.96621,0.86547,0.7603,0.82977,0.56429,1.00516,0.69896,1.00194,0.0007822,0.0007822,0.0007822
57,1157.81,0.93053,0.67983,0.96703,0.87513,0.73838,0.82331,0.56225,0.9816,0.68421,0.97738,0.00077824,0.00077824,0.00077824
58,1177.18,0.89951,0.65557,0.94897,0.85146,0.75253,0.8237,0.56101,0.98531,0.69969,0.98807,0.00077428,0.00077428,0.00077428
59,1197.32,0.92298,0.65089,0.96344,0.8756,0.74829,0.83623,0.57364,1.0013,0.67339,0.98962,0.00077032,0.00077032,0.00077032
60,1218.14,0.93785,0.66028,0.96285,0.90765,0.72655,0.81876,0.55927,0.98217,0.75795,0.99076,0.00076636,0.00076636,0.00076636
61,1237.27,0.91659,0.64699,0.9528,0.89734,0.75474,0.84904,0.57097,0.97585,0.67251,0.98298,0.0007624,0.0007624,0.0007624
62,1256.44,0.93111,0.65335,0.9627,0.87973,0.75974,0.83971,0.56385,1.00806,0.66182,0.99096,0.00075844,0.00075844,0.00075844
63,1275.68,0.89416,0.64493,0.94145,0.89624,0.7469,0.83278,0.57023,0.98971,0.66085,0.98016,0.00075448,0.00075448,0.00075448
64,1294.69,0.91744,0.64123,0.9616,0.87849,0.76087,0.83168,0.56904,1.01594,0.67491,1.00574,0.00075052,0.00075052,0.00075052
65,1314.46,0.91097,0.62964,0.95801,0.86994,0.76313,0.82877,0.56517,0.98668,0.6703,0.98391,0.00074656,0.00074656,0.00074656
66,1334.74,0.92006,0.63029,0.96416,0.88123,0.75268,0.82277,0.55361,1.02851,0.68597,1.01459,0.0007426,0.0007426,0.0007426
67,1353.66,0.90022,0.62333,0.94998,0.88291,0.74922,0.83539,0.56163,0.9824,0.65441,0.99022,0.00073864,0.00073864,0.00073864
68,1372.74,0.89531,0.63107,0.94332,0.87745,0.76834,0.84435,0.56895,0.98439,0.6753,0.9942,0.00073468,0.00073468,0.00073468
69,1392.32,0.91048,0.63039,0.95237,0.90371,0.73592,0.83068,0.57037,0.98089,0.67216,0.98995,0.00073072,0.00073072,0.00073072
70,1411.49,0.8997,0.62431,0.95598,0.8974,0.74609,0.84145,0.58055,0.9795,0.64764,0.97909,0.00072676,0.00072676,0.00072676
71,1431.76,0.89479,0.64697,0.95744,0.89213,0.76477,0.84143,0.56854,0.98434,0.63911,0.98693,0.0007228,0.0007228,0.0007228
72,1452.11,0.89463,0.62539,0.95492,0.89712,0.76086,0.84413,0.57881,0.98951,0.64259,0.9961,0.00071884,0.00071884,0.00071884
73,1470.73,0.87893,0.61057,0.95329,0.88201,0.76181,0.84767,0.57354,0.95649,0.62637,0.99303,0.00071488,0.00071488,0.00071488
74,1489.64,0.89946,0.62814,0.9463,0.90332,0.74579,0.83118,0.55919,0.98018,0.66452,0.98648,0.00071092,0.00071092,0.00071092
75,1508.7,0.88259,0.61468,0.93658,0.89679,0.75712,0.84061,0.57824,0.94065,0.64974,0.97427,0.00070696,0.00070696,0.00070696
76,1527.95,0.88117,0.60852,0.94287,0.86042,0.78578,0.83627,0.57368,0.96912,0.70577,0.99615,0.000703,0.000703,0.000703
77,1547.69,0.88714,0.62122,0.95434,0.92273,0.76918,0.84241,0.57038,0.97827,0.66501,0.98592,0.00069904,0.00069904,0.00069904
78,1568.22,0.87951,0.60594,0.94285,0.90573,0.77497,0.84494,0.58154,0.95838,0.68445,0.98351,0.00069508,0.00069508,0.00069508
79,1586.76,0.86383,0.59196,0.94292,0.90174,0.75839,0.84713,0.57306,0.97752,0.64227,0.99344,0.00069112,0.00069112,0.00069112
80,1606.05,0.88398,0.60832,0.94038,0.90635,0.75696,0.85121,0.5797,0.96083,0.63015,0.98991,0.00068716,0.00068716,0.00068716
81,1625.39,0.88854,0.62141,0.95229,0.89075,0.76365,0.84397,0.57819,0.969,0.64517,0.98479,0.0006832,0.0006832,0.0006832
82,1644.83,0.83021,0.57524,0.93311,0.87928,0.77779,0.84685,0.57902,0.96758,0.67013,0.9828,0.00067924,0.00067924,0.00067924
83,1665.31,0.86858,0.59214,0.94463,0.87713,0.7676,0.84179,0.58138,0.98651,0.63321,0.9989,0.00067528,0.00067528,0.00067528
84,1685.71,0.84951,0.58184,0.93434,0.85484,0.77971,0.84256,0.58136,0.96901,0.64209,0.99381,0.00067132,0.00067132,0.00067132
85,1705.16,0.87547,0.5835,0.9392,0.88904,0.77358,0.84567,0.57103,0.98716,0.6347,1.00222,0.00066736,0.00066736,0.00066736
86,1724.51,0.85536,0.58638,0.93631,0.88357,0.77403,0.85245,0.57114,0.97582,0.63364,0.98545,0.0006634,0.0006634,0.0006634
87,1744.08,0.85834,0.59003,0.93502,0.85801,0.76988,0.84913,0.5849,0.94991,0.61689,0.98511,0.00065944,0.00065944,0.00065944
88,1763.65,0.8681,0.58624,0.94528,0.89782,0.75504,0.84846,0.57691,0.97677,0.65371,0.98411,0.00065548,0.00065548,0.00065548
89,1784.45,0.86017,0.58014,0.93467,0.89071,0.78105,0.85308,0.58503,0.95756,0.65389,0.99173,0.00065152,0.00065152,0.00065152
90,1803.79,0.87145,0.57742,0.93857,0.87322,0.78195,0.84482,0.57308,0.97897,0.64625,0.99183,0.00064756,0.00064756,0.00064756
91,1822.86,0.84427,0.56555,0.93212,0.86013,0.78971,0.84113,0.58074,0.96236,0.63117,0.98401,0.0006436,0.0006436,0.0006436
92,1841.96,0.86664,0.57528,0.94071,0.87701,0.79705,0.85696,0.58269,0.9638,0.61002,0.98553,0.00063964,0.00063964,0.00063964
93,1861.05,0.849,0.57701,0.93444,0.91629,0.76099,0.84746,0.57238,0.95994,0.65664,0.97964,0.00063568,0.00063568,0.00063568
94,1880.37,0.83565,0.55891,0.93024,0.88458,0.7654,0.83631,0.57264,0.97946,0.66628,0.99028,0.00063172,0.00063172,0.00063172
95,1900.54,0.8469,0.56389,0.93442,0.86727,0.79126,0.84617,0.57806,0.96672,0.63431,0.99798,0.00062776,0.00062776,0.00062776
96,1920.47,0.84352,0.57195,0.93682,0.90437,0.76529,0.85474,0.57534,0.97295,0.65598,0.99259,0.0006238,0.0006238,0.0006238
97,1939.54,0.85294,0.57635,0.9392,0.88978,0.77982,0.85067,0.5832,0.97188,0.63944,0.99516,0.00061984,0.00061984,0.00061984
98,1958.75,0.83614,0.56176,0.93749,0.90403,0.77745,0.8535,0.59324,0.93401,0.6236,0.97499,0.00061588,0.00061588,0.00061588
99,1977.52,0.82758,0.55007,0.92769,0.90976,0.77531,0.85669,0.5935,0.95758,0.60813,0.99582,0.00061192,0.00061192,0.00061192
100,1996.55,0.83238,0.5699,0.9189,0.87926,0.79434,0.85957,0.59237,0.96431,0.60885,0.98246,0.00060796,0.00060796,0.00060796
101,2016.84,0.82585,0.54845,0.92102,0.91408,0.76347,0.85735,0.5914,0.95521,0.64473,0.98067,0.000604,0.000604,0.000604
102,2035.84,0.82223,0.5449,0.93025,0.902,0.7623,0.84722,0.58163,0.96696,0.65946,0.98233,0.00060004,0.00060004,0.00060004
103,2054.88,0.84522,0.55232,0.92398,0.89397,0.76029,0.84881,0.59558,0.94952,0.61726,0.97854,0.00059608,0.00059608,0.00059608
104,2074.02,0.80714,0.53434,0.91939,0.90889,0.76846,0.85147,0.58749,0.96552,0.64805,0.97904,0.00059212,0.00059212,0.00059212
