epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,187.051,0.83397,0.66855,0.89601,0.93952,0.79045,0.87118,0.61374,0.9716,0.84625,0.98653,0.000960682,0.000960682,0.000960682
43,191.055,0.80897,0.67219,0.9015,0.8356,0.79776,0.83775,0.60941,0.96411,0.8255,0.99304,0.000957015,0.000957015,0.000957015
44,194.97,0.79323,0.71098,0.91752,0.83726,0.81143,0.85311,0.61925,0.98043,0.74868,1.0014,0.000953349,0.000953349,0.000953349
45,199.093,0.82128,0.6719,0.90797,0.82954,0.82964,0.87172,0.62067,0.99741,0.71723,1.00651,0.000949683,0.000949683,0.000949683
46,203.853,0.84854,0.66783,0.91776,0.89629,0.78419,0.87214,0.60771,0.99943,0.73042,0.99301,0.000946016,0.000946016,0.000946016
47,208.542,0.83123,0.66603,0.89351,0.84859,0.81976,0.86918,0.6023,1.01447,0.76587,1.00014,0.00094235,0.00094235,0.00094235
48,212.904,0.82116,0.64771,0.89597,0.88796,0.82699,0.89405,0.6257,0.98198,0.73944,0.98269,0.000938684,0.000938684,0.000938684
49,217.168,0.86584,0.67094,0.9181,0.86399,0.84395,0.89885,0.62299,1.03,0.69234,0.99563,0.000935018,0.000935018,0.000935018
50,223.241,0.82746,0.65572,0.91031,0.9029,0.82207,0.89078,0.63139,0.99131,0.69429,0.99004,0.000931351,0.000931351,0.000931351
51,227.574,0.80954,0.64269,0.9036,0.8408,0.84373,0.88217,0.63488,0.99338,0.69253,0.99183,0.000927685,0.000927685,0.000927685
52,231.886,0.84138,0.63674,0.90146,0.86242,0.84345,0.88701,0.63574,0.9836,0.69545,0.97753,0.000924019,0.000924019,0.000924019
53,237.346,0.83828,0.6739,0.89535,0.87399,0.83852,0.8865,0.62807,0.98377,0.69546,0.97848,0.000920352,0.000920352,0.000920352
54,241.456,0.81413,0.62386,0.86804,0.87503,0.82849,0.88515,0.62126,0.98124,0.70398,0.98324,0.000916686,0.000916686,0.000916686
55,245.65,0.81073,0.6167,0.89505,0.87019,0.83275,0.88812,0.64372,0.97621,0.70642,0.99319,0.00091302,0.00091302,0.00091302
56,249.77,0.78905,0.61443,0.88386,0.8889,0.80799,0.88713,0.64112,0.97326,0.71904,0.98191,0.000909353,0.000909353,0.000909353
57,253.751,0.79443,0.61737,0.88836,0.92859,0.79365,0.88858,0.63914,0.9825,0.73457,0.98621,0.000905687,0.000905687,0.000905687
58,258.66,0.78962,0.59174,0.88456,0.92507,0.79367,0.87528,0.62985,0.97955,0.79965,0.97925,0.000902021,0.000902021,0.000902021
59,263.056,0.77443,0.58507,0.88209,0.90884,0.79253,0.87326,0.63896,0.96517,0.76152,0.97846,0.000898355,0.000898355,0.000898355
60,267.125,0.77138,0.59077,0.88419,0.87592,0.82178,0.86928,0.63177,0.98256,0.72991,0.98977,0.000894688,0.000894688,0.000894688
61,271.442,0.79346,0.60785,0.88054,0.9162,0.77481,0.85984,0.62343,0.98019,0.73897,0.98127,0.000891022,0.000891022,0.000891022
62,275.48,0.79729,0.58309,0.89554,0.92897,0.76281,0.86877,0.6297,0.94717,0.74521,0.9633,0.000887356,0.000887356,0.000887356
63,279.434,0.79201,0.62089,0.89115,0.887,0.79373,0.8588,0.62102,0.99955,0.75901,0.97439,0.000883689,0.000883689,0.000883689
64,283.342,0.79138,0.59587,0.87885,0.9285,0.80211,0.89037,0.6417,0.96326,0.68934,0.97026,0.000880023,0.000880023,0.000880023
65,287.198,0.79607,0.59164,0.88894,0.86391,0.83458,0.88886,0.64029,0.9699,0.66379,0.98172,0.000876357,0.000876357,0.000876357
66,291.114,0.79264,0.59372,0.88822,0.92246,0.7784,0.88264,0.64135,0.97081,0.67361,0.98687,0.000872691,0.000872691,0.000872691
67,295.202,0.80196,0.59884,0.91884,0.91728,0.79937,0.88596,0.63965,0.97405,0.6851,0.98012,0.000869024,0.000869024,0.000869024
68,299.163,0.78902,0.60014,0.88047,0.91947,0.78967,0.87596,0.6351,0.95521,0.74151,0.97889,0.000865358,0.000865358,0.000865358
69,303.193,0.77701,0.5853,0.88422,0.93441,0.80239,0.88914,0.63845,0.95747,0.70754,0.97743,0.000861692,0.000861692,0.000861692
70,307.187,0.77948,0.58149,0.89808,0.93696,0.79387,0.89252,0.63754,0.97714,0.69265,0.98894,0.000858025,0.000858025,0.000858025
71,311.553,0.78606,0.58742,0.87725,0.91257,0.81203,0.88649,0.62852,0.96782,0.68375,0.98319,0.000854359,0.000854359,0.000854359
72,315.734,0.76291,0.56015,0.88445,0.89111,0.82241,0.89631,0.63742,0.97502,0.69421,0.9878,0.000850693,0.000850693,0.000850693
73,319.664,0.77896,0.57922,0.8896,0.92571,0.78426,0.87525,0.61877,1.03611,0.72898,1.0029,0.000847026,0.000847026,0.000847026
74,323.81,0.77729,0.55161,0.8864,0.9117,0.79744,0.88047,0.62307,0.97914,0.72106,0.98551,0.00084336,0.00084336,0.00084336
75,328.096,0.79652,0.59041,0.88511,0.91793,0.7777,0.88161,0.63668,0.96695,0.72065,0.96985,0.000839694,0.000839694,0.000839694
76,331.97,0.79644,0.57632,0.87456,0.88013,0.8041,0.87404,0.63542,0.97153,0.73596,0.97548,0.000836027,0.000836027,0.000836027
77,335.901,0.76048,0.56412,0.88777,0.92634,0.82227,0.88223,0.64192,0.94865,0.70129,0.96509,0.000832361,0.000832361,0.000832361
78,339.959,0.77148,0.58319,0.86941,0.94967,0.78901,0.87567,0.62988,1.00029,0.74284,0.98431,0.000828695,0.000828695,0.000828695
79,343.851,0.7636,0.5565,0.88419,0.93408,0.79954,0.86886,0.6296,0.98878,0.7815,0.97793,0.000825029,0.000825029,0.000825029
80,347.738,0.79935,0.57763,0.88494,0.91889,0.7963,0.87166,0.63146,0.96507,0.74287,0.97785,0.000821362,0.000821362,0.000821362
81,351.653,0.75405,0.55464,0.87066,0.92601,0.82055,0.87895,0.6335,0.9567,0.71432,0.96831,0.000817696,0.000817696,0.000817696
82,355.546,0.76266,0.57245,0.88032,0.94639,0.80003,0.87593,0.63193,0.954,0.76461,0.95841,0.00081403,0.00081403,0.00081403
83,359.466,0.74126,0.54556,0.87733,0.88334,0.82258,0.87536,0.6335,0.95551,0.72712,0.96408,0.000810363,0.000810363,0.000810363
84,363.269,0.76484,0.55745,0.87157,0.89156,0.82175,0.88148,0.62714,0.97765,0.72104,0.98784,0.000806697,0.000806697,0.000806697
85,367.08,0.7472,0.56115,0.87547,0.90437,0.81785,0.88489,0.63125,0.97634,0.68976,0.98806,0.000803031,0.000803031,0.000803031
86,370.872,0.72844,0.51116,0.84842,0.90454,0.84423,0.8831,0.6324,0.98103,0.69449,0.98921,0.000799365,0.000799365,0.000799365
87,374.519,0.73797,0.53012,0.88073,0.94059,0.80776,0.88661,0.63886,0.9896,0.7103,0.99213,0.000795698,0.000795698,0.000795698
88,378.602,0.73111,0.5489,0.87403,0.90919,0.83427,0.88193,0.63248,0.99758,0.73255,0.99193,0.000792032,0.000792032,0.000792032
89,383.034,0.789,0.5632,0.88727,0.9357,0.83738,0.90085,0.63495,1.00483,0.6942,0.99833,0.000788366,0.000788366,0.000788366
90,387.188,0.75065,0.55138,0.8749,0.93685,0.83101,0.90059,0.64363,0.99572,0.68874,1.00857,0.000784699,0.000784699,0.000784699
91,391.201,0.73472,0.52617,0.87182,0.93108,0.84165,0.89668,0.64591,1.01079,0.68438,1.00847,0.000781033,0.000781033,0.000781033
92,395.139,0.77781,0.58285,0.88997,0.89531,0.86349,0.90156,0.64748,1.00609,0.66109,1.00857,0.000777367,0.000777367,0.000777367
93,399.055,0.74304,0.54046,0.87662,0.91502,0.85905,0.90182,0.64286,1.00948,0.67079,1.0072,0.0007737,0.0007737,0.0007737
94,402.984,0.74568,0.5378,0.89136,0.85415,0.83237,0.88259,0.62943,0.99933,0.6983,1.00082,0.000770034,0.000770034,0.000770034
95,406.875,0.78107,0.55319,0.87298,0.87515,0.82651,0.87993,0.62743,0.98741,0.69779,0.98777,0.000766368,0.000766368,0.000766368
96,411.018,0.72101,0.53917,0.86638,0.88755,0.80998,0.87187,0.62974,0.98308,0.7023,0.98706,0.000762702,0.000762702,0.000762702
97,415.088,0.73332,0.54797,0.88475,0.91016,0.81558,0.87335,0.62272,0.98564,0.70184,0.98783,0.000759035,0.000759035,0.000759035
98,418.957,0.74758,0.54425,0.88733,0.92052,0.80605,0.88317,0.63042,0.97435,0.71012,0.98537,0.000755369,0.000755369,0.000755369
99,422.768,0.73762,0.53909,0.86552,0.89625,0.81727,0.88513,0.64528,0.94702,0.6937,0.97923,0.000751703,0.000751703,0.000751703
100,426.614,0.72339,0.52424,0.86188,0.90043,0.80211,0.87903,0.65202,0.9302,0.68674,0.97314,0.000748036,0.000748036,0.000748036
101,430.578,0.73401,0.53266,0.85727,0.88689,0.77889,0.87507,0.63823,0.93199,0.67305,0.97135,0.00074437,0.00074437,0.00074437
102,434.45,0.73751,0.52061,0.86537,0.87482,0.80739,0.87327,0.6311,0.9452,0.68852,0.97582,0.000740704,0.000740704,0.000740704
103,438.419,0.77113,0.54312,0.87412,0.89811,0.79317,0.86343,0.62775,0.96935,0.71229,0.97698,0.000737037,0.000737037,0.000737037
104,442.286,0.72888,0.51606,0.87223,0.86892,0.8128,0.86814,0.63568,0.99008,0.73958,0.98544,0.000733371,0.000733371,0.000733371
105,446.431,0.7507,0.51761,0.86741,0.89177,0.84764,0.87728,0.61948,1.00216,0.74865,0.98926,0.000729705,0.000729705,0.000729705
106,450.482,0.72883,0.53021,0.8877,0.86368,0.82773,0.86896,0.62275,0.99604,0.73604,0.99415,0.000726038,0.000726038,0.000726038
107,454.386,0.75607,0.53509,0.87424,0.91697,0.80006,0.875,0.63481,0.95921,0.71162,0.98851,0.000722372,0.000722372,0.000722372
108,458.236,0.70685,0.53248,0.86796,0.87686,0.82316,0.87604,0.62981,0.99006,0.69665,0.98996,0.000718706,0.000718706,0.000718706
109,462.153,0.73364,0.5157,0.86844,0.87992,0.80593,0.87678,0.62688,0.98719,0.69121,0.99036,0.00071504,0.00071504,0.00071504
110,466.552,0.70132,0.50547,0.88051,0.91867,0.8003,0.8746,0.63297,0.96507,0.67997,0.9798,0.000711373,0.000711373,0.000711373
111,470.468,0.71712,0.50432,0.873,0.93136,0.8083,0.87929,0.63248,0.95994,0.68702,0.97124,0.000707707,0.000707707,0.000707707
112,475.094,0.72516,0.50289,0.87328,0.93147,0.80395,0.87947,0.64382,0.93322,0.68534,0.96151,0.000704041,0.000704041,0.000704041
113,479.036,0.72405,0.51902,0.85717,0.94066,0.79408,0.8853,0.65795,0.93591,0.68391,0.96908,0.000700374,0.000700374,0.000700374
114,482.937,0.72068,0.51734,0.86688,0.90747,0.80107,0.88248,0.6416,0.96248,0.71852,0.96568,0.000696708,0.000696708,0.000696708
